business_id,name,primary_category,categories,city,price_range,avg_rating,review_count
Pawavw9U8rjxWVPU-RB7LA,Richie Chan's Chinese Restaurant,Chinese,"Chinese, Restaurants",Cleveland,1,3.3,10
VUb97h3RTg6InKdfgB49Bw,Happy Dog at the Euclid Tavern,Bars,"Restaurants, Bars, Arts & Entertainment, Nightlife, Hot Dogs, American (Traditional), Music Venues, Dive Bars",Cleveland,1,3.975609756097561,41
CtYWpX_cy1YdZgoKtS0Tqg,Happys Pizza,Pizza,"Pizza, Restaurants",Cleveland,1,2.2,10
8FZftD3Y5jQ2R44EDBqhlA,Cafe Bon Appetit,Creperies,"Restaurants, Creperies, Sandwiches, Mediterranean, Food",Cleveland,1,4.5,16
YNI26xBkdOzI1TMGmIcEaw,Taco Bell Cantina,Mexican,"Mexican, Restaurants, Fast Food",Cleveland,1,4.0,13
MTsIckdo3_uKuqk3B4zuKA,Cleveland Pickle,Specialty Food,"Restaurants, Specialty Food, Food, Sandwiches",Cleveland,1,4.0181818181818185,55
TW6A7M0j0R9hp1zYpxz2FQ,District,American (New),"American (New), Brasseries, Restaurants",Cleveland,2,3.5294117647058822,34
GYHaejDRFdUgyRm8X_g8rg,Shay's,American (New),"Restaurants, American (New)",Cleveland,1,3.75,8
VGRn5KgYKMkqdIKtBUzQQA,Wahlburgers,Burgers,"Burgers, Restaurants, American (Traditional)",Cleveland,2,3.7058823529411766,17
1veVZUawy7IhIc5oDpRRQA,Slyman's Restaurant,Sandwiches,"Sandwiches, American (Traditional), Restaurants",Cleveland,2,4.5661764705882355,136
N9qQPezv9swXFLPgoMdhOg,IHOP,American (New),"American (New), American (Traditional), Restaurants, Breakfast & Brunch",Cleveland,1,2.1818181818181817,11
10Jk5ilimXrfAq8JJ1gISg,Saigon Grille,Vietnamese,"Restaurants, Vietnamese",Cleveland,1,3.8125,48
pcs7jXj_mvuLQq6DQ3Ggcg,Seti's Polish Boys,American (Traditional),"American (Traditional), Restaurants, Street Vendors, Food Stands, Food Trucks, Food, Fast Food, Hot Dogs",Cleveland,1,4.235294117647059,17
knJh7agyWMdPyndI9dURjw,Zócalo Tequilería,Cocktail Bars,"Cocktail Bars, Mexican, Bars, Nightlife, Restaurants, Seafood",Cleveland,2,2.3216783216783217,143
k9vukbB0xYq_FC9KpktnbQ,811 Kitchen Bar Lounge,Nightlife,"Nightlife, Restaurants, Cocktail Bars, American (New), Bars, Lounges",Cleveland,2,3.8636363636363638,22
blU2m56zkJc0SucLnbc4vw,Vine and Bean,Breakfast & Brunch,"Breakfast & Brunch, Food, Coffee & Tea, Restaurants",Cleveland,2,3.6923076923076925,13
JftoP9r6TT98v83hfY9RZw,Mandarin House Chinese Restaurant,Food,"Food, Chinese, Restaurants, Vietnamese",Cleveland,1,3.6666666666666665,12
6WdKJJbK6EC5R8PKGWMsng,Katherine's Family Restaurant,Restaurant,Restaurants,Cleveland,1,3.0,6
KRM-JflDiqIpJUToNQc7pw,Larchmere Tavern,American (Traditional),"American (Traditional), Restaurants",Cleveland,2,3.8181818181818183,11
Ywdy4YARQK1ZWOCDzZDi-w,Sarava At Shaker Square,Steakhouses,"Steakhouses, Restaurants, Brazilian, Seafood",Cleveland,2,3.787878787878788,33
OERShuAgSxyjmXJ8IwT2zA,Boston Market,Event Planning & Services,"Event Planning & Services, Caterers, American (Traditional), Comfort Food, Restaurants",Cleveland,1,3.0,4
hmfAdo6LuVOvBLiu75C8ZA,Luca Italian Cuisine,Italian,"Restaurants, Italian",Cleveland,3,4.254545454545455,55
